Total payé réel;Code pays de livraison
64.920000;FR
24.420000;BE
252.940000;ES
252.940000;ES
252.940000;ES
252.940000;ES
252.940000;ES
252.940000;ES
252.940000;ES
252.940000;ES
51.680000;FR
196.940000;BE
110.630000;FR
90.630000;FR
74.630000;FR
74.630000;FR
226.290000;FR
226.290000;FR
226.290000;FR
226.290000;FR
44.720000;BE
54.430000;FR
48.420000;FR
50.620000;BE
50.620000;BE
44.160000;BE
44.160000;BE
40.520000;BE
36.700000;BE
23.820000;BE
65.500000;BE
65.500000;BE
50.620000;FR
50.620000;FR
169.040000;FR
169.040000;FR
100.630000;FR
100.630000;FR
87.700000;FR
87.700000;FR
185.680000;BE
10.820000;BE
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
40.320000;FR
40.320000;FR
290.290000;FR
290.290000;FR
290.290000;FR
290.290000;FR
35.700000;BE
290.290000;FR
290.290000;FR
290.290000;FR
37.880000;FR
37.880000;FR
37.880000;FR
142.630000;FR
142.630000;FR
142.630000;FR
46.620000;FR
46.620000;FR
174.290000;FR
174.290000;FR
80.920000;FR
298.770000;FR
298.770000;FR
95.490000;FR
95.490000;FR
142.630000;FR
142.630000;FR
142.630000;FR
23.820000;BE
70.520000;FR
70.520000;FR
28.120000;FR
51.520000;FR
51.520000;FR
37.420000;FR
37.420000;FR
137.140000;ES
24.820000;FR
85.390000;FR
85.390000;FR
34.420000;FR
34.420000;FR
42.920000;FR
42.920000;FR
43.920000;FR
43.920000;FR
42.600000;BE
42.600000;BE
99.470000;BE
99.470000;BE
99.470000;BE
178.490000;BE
178.490000;BE
178.490000;BE
178.490000;BE
178.490000;BE
178.490000;BE
178.490000;BE
64.920000;FR
64.920000;FR
64.920000;FR
39.620000;BE
39.620000;BE
39.620000;BE
24.420000;FR
57.420000;FR
57.420000;FR
57.420000;FR
296.140000;FR
296.140000;FR
90.920000;FR
90.920000;FR
110.670000;BE
110.670000;BE
110.670000;BE
110.670000;BE
110.670000;BE
110.670000;BE
110.670000;BE
101.640000;FR
101.640000;FR
90.920000;FR
90.920000;FR
90.920000;FR
90.920000;FR
110.630000;FR
110.630000;FR
110.630000;FR
110.630000;FR
97.400000;PL
97.400000;PL
97.400000;PL
183.590000;FR
183.590000;FR
133.640000;FR
133.640000;FR
75.920000;FR
75.920000;FR
43.620000;ES
80.920000;FR
80.920000;FR
80.920000;FR
101.640000;FR
101.640000;FR
28.120000;FR
61.920000;FR
61.920000;FR
80.920000;BE
80.920000;BE
80.920000;BE
174.290000;FR
174.290000;FR
174.290000;FR
174.290000;FR
110.110000;CH
150.640000;FR
150.640000;FR
150.640000;FR
46.620000;FR
46.620000;FR
169.140000;ES
67.920000;FR
67.920000;FR
67.920000;FR
34.130000;FR
169.830000;FR
169.830000;FR
169.830000;FR
169.830000;FR
169.830000;FR
169.830000;FR
294.770000;FR
294.770000;FR
133.640000;FR
133.640000;FR
24.420000;FR
57.420000;FR
104.630000;FR
104.630000;FR
104.630000;FR
196.690000;LU
196.690000;LU
196.690000;LU
196.690000;LU
42.970000;LU
68.320000;LU
139.140000;FR
139.140000;FR
139.140000;FR
186.630000;FR
186.630000;FR
291.290000;FR
291.290000;FR
291.290000;FR
291.290000;FR
291.290000;FR
291.290000;FR
291.290000;FR
291.290000;FR
291.290000;FR
291.290000;FR
291.290000;FR
133.640000;FR
133.640000;FR
133.640000;FR
91.520000;BE
91.520000;BE
132.640000;FR
132.640000;FR
132.640000;FR
101.640000;FR
101.640000;FR
101.640000;FR
101.640000;FR
114.640000;ES
114.640000;ES
114.640000;ES
114.640000;ES
101.640000;FR
180.690000;FR
180.690000;FR
180.690000;FR
180.690000;FR
38.580000;ES
38.580000;ES
80.920000;BE
80.920000;BE
121.640000;LU
121.640000;LU
121.640000;LU
121.640000;LU
80.640000;FR
80.640000;FR
80.640000;FR
80.640000;FR
57.420000;FR
225.970000;BE
80.920000;BE
80.920000;BE
80.920000;BE
59.970000;FR
59.970000;FR
59.970000;FR
59.970000;FR
169.040000;FR
169.040000;FR
169.040000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
133.640000;FR
24.820000;FR
67.130000;FR
266.290000;FR
266.290000;FR
